title,url,playlist_title,channel_title,embed_code
"LPI - Tự học Linux Bài 31 - Các lệnh thay đổi quyền, người, nhóm sở hữu file và thư mục trong Linux",https://www.youtube.com/watch?v=qWKppMTOfvA,LPI1 - Tự học Linux cơ bản,TITV,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/qWKppMTOfvA"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>"
LPI - Tự học Linux Bài 32 - Hard Link và Soft Link Symbolic Link trong Linux,https://www.youtube.com/watch?v=FbivkHatOSw,LPI1 - Tự học Linux cơ bản,TITV,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/FbivkHatOSw"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>"
LPI - Tự học Linux Bài 33 - Cấu hình mạng trong Linux,https://www.youtube.com/watch?v=Gw8OMZr2yos,LPI1 - Tự học Linux cơ bản,TITV,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/Gw8OMZr2yos"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>"
LPI - Tự học Linux Bài 34 - Cấu hình địa chỉ IP trong Linux,https://www.youtube.com/watch?v=mqrSdVKfa_A,LPI1 - Tự học Linux cơ bản,TITV,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/mqrSdVKfa_A"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>"
LPI - Tự học Linux Bài 35 - Hướng dẫn cài đặt và gỡ bỏ ứng dụng trong Ubuntu,https://www.youtube.com/watch?v=wYYzxu77T90,LPI1 - Tự học Linux cơ bản,TITV,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/wYYzxu77T90"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>"
LPI - Tự học Linux Bài 36 - Hướng dẫn cài bộ gõ tiếng Việt trên Ubuntu,https://www.youtube.com/watch?v=EudgzCOv2dY,LPI1 - Tự học Linux cơ bản,TITV,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/EudgzCOv2dY"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>"
LPI - Tự học Linux Bài 37 - Hướng dẫn cài đặt công cụ lập trình C/C++ trong linux,https://www.youtube.com/watch?v=XR6oJiFlzq4,LPI1 - Tự học Linux cơ bản,TITV,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/XR6oJiFlzq4"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>"
LPI - Tự học Linux Bài 38 - Hướng dẫn cài đặt codeblocks để lập trình C/C++ trong Linux,https://www.youtube.com/watch?v=E7VX1Js8hNM,LPI1 - Tự học Linux cơ bản,TITV,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/E7VX1Js8hNM"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>"
LPI - Tự học Linux Bài 39 - Hướng dẫn cài đặt Visual Studio Code trong Ubuntu Linux,https://www.youtube.com/watch?v=1S-8k02cY2g,LPI1 - Tự học Linux cơ bản,TITV,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/1S-8k02cY2g"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>"
LPI - Tự học Linux Bài 40 - Hướng dẫn cài đặt công cụ lập trình Java trên Linux,https://www.youtube.com/watch?v=a1RMxcXFFMo,LPI1 - Tự học Linux cơ bản,TITV,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/a1RMxcXFFMo"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>"
LPI -  Tự học Linux Bài 41 - Hướng dẫn cài đặt Python và công cụ lập trình Pycharm trên linux,https://www.youtube.com/watch?v=DmMU68yTIA8,LPI1 - Tự học Linux cơ bản,TITV,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/DmMU68yTIA8"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>"
LPI -  Tự học Linux Bài 42 - Hướng dẫn cài đặt R và RStudio trong Linux,https://www.youtube.com/watch?v=EgabX3TG9Mw,LPI1 - Tự học Linux cơ bản,TITV,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/EgabX3TG9Mw"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>"
LPI - Tự học Linux Bài 43 - Linux File Systems và một số câu lệnh quản lý phân vùng,https://www.youtube.com/watch?v=hCQBaUJOV3c,LPI1 - Tự học Linux cơ bản,TITV,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/hCQBaUJOV3c"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>"
LPI - Tự học Linux Bài 44 - Giới thiệu về lập trình Shell Bash trong Linux,https://www.youtube.com/watch?v=1cGeqHGENHM,LPI1 - Tự học Linux cơ bản,TITV,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/1cGeqHGENHM"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>"
LPI - Tự học Linux Bài 45 - Câu lệnh nhập và xuất trong lập trình Shell,https://www.youtube.com/watch?v=CkRY-udaqVA,LPI1 - Tự học Linux cơ bản,TITV,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/CkRY-udaqVA"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>"
